timestamp,open,high,low,close,volume
2024-03-18,191.7000,193.2300,190.3200,191.6900,5410562
2024-03-15,191.9900,193.0573,190.7000,191.0700,8828184
2024-03-14,196.9500,197.7480,192.1200,193.4300,4102202
2024-03-13,197.5500,198.1000,195.3200,196.7000,3960737
2024-03-12,192.4600,199.1800,192.1500,197.7800,5862512
2024-03-11,195.0900,195.3800,190.8800,191.7300,4712688
2024-03-08,196.0600,197.7700,194.3800,195.9500,3943113
2024-03-07,197.5800,198.7300,196.1400,196.5400,4604458
2024-03-06,193.5000,198.1300,192.9600,196.1600,6945818
2024-03-05,192.0000,193.9400,190.5700,191.9500,5653641
2024-03-04,187.7600,193.8980,187.6000,193.0600,7938266
2024-03-01,185.4900,188.3800,185.1800,188.2000,4018354
2024-02-29,186.1500,186.8495,184.6900,185.0300,6458487
2024-02-28,184.6300,185.3700,183.5500,185.3000,3216345
2024-02-27,184.1600,185.1300,182.6200,184.8700,3641378
2024-02-26,185.6000,186.1250,184.0600,184.1300,4620815
2024-02-23,184.9000,186.4550,184.5700,185.7200,3433800
2024-02-22,182.4500,184.5500,181.9300,184.2100,5078398
2024-02-21,182.5600,183.0300,178.7500,179.7000,4728473
2024-02-20,187.6400,188.7700,183.0600,183.4400,4247181
2024-02-16,186.6300,188.9500,185.9452,187.6400,4842840
2024-02-15,183.6200,186.9800,183.6200,186.8700,4714301
2024-02-14,185.0000,185.0000,182.2600,183.5700,3173391
2024-02-13,184.2800,184.7700,182.3600,183.7000,4290453
2024-02-12,185.9000,186.4800,184.0300,186.1600,4724021
2024-02-09,184.4400,187.1800,183.8500,186.3400,5064641
2024-02-08,182.6300,184.5500,181.4900,184.3600,5161185
2024-02-07,183.3400,184.0200,182.6250,183.7400,4841188
2024-02-06,183.5500,184.6800,183.0400,183.4100,3338196
2024-02-05,185.5100,185.7800,183.2550,183.4200,4379602
2024-02-02,187.1000,187.3900,185.6150,185.7900,4055411
2024-02-01,183.6300,187.5100,182.7100,186.9000,4669444
2024-01-31,187.0500,187.6500,183.1400,183.6600,8876055
2024-01-30,187.7100,188.6500,186.7700,187.8700,4575058
2024-01-29,187.4600,189.4600,186.0500,187.1400,6107908
2024-01-26,191.3100,192.3896,186.1600,187.4200,9895941
2024-01-25,184.9600,196.9000,184.8300,190.4300,29596239
