title,created_utc,score,num_comments,url
'Brain rot' named Oxford Word of the Year 2024,2024-12-02 02:39:33,137,117,https://corp.oup.com/news/brain-rot-named-oxford-word-of-the-year-2024/
The Slang Shading Language,2024-11-26 11:40:53,135,43,https://shader-slang.com
"Review of ""Statistics"" by Freedman, Pisani, and Purves (2017)",2024-12-01 10:37:56,135,19,http://cadlag.org/posts/a-review-of-freedman-pisani-purves-statistics.html
Making Screenshots of Test Equipment Old and New,2024-11-30 06:36:07,131,26,https://tomverbeure.github.io/2024/11/29/Making-Screenshots-of-Test-Equipment.html
DELETEs Are Difficult,2024-11-25 07:46:15,129,109,https://notso.boringsql.com/posts/deletes-are-difficult/
DynaSaur: Large Language Agents Beyond Predefined Actions,2024-12-01 06:21:59,120,29,https://arxiv.org/abs/2411.01747
Square roots and maxima,2024-11-30 16:33:59,117,33,https://leancrew.com/all-this/2024/11/square-roots-and-maxima/
Gene behind orange fur in cats found at last,2024-12-01 23:59:52,111,32,https://www.science.org/content/article/gene-behind-orange-fur-cats-found-last
How to Study Mathematics (2017),2024-12-01 22:50:51,109,42,https://www.math.uh.edu/~dblecher/pf2.html
Category Theory in Programming,2024-12-01 23:19:30,106,48,https://docs.racket-lang.org/ctp/index.html
Make the most of your burl,2024-11-30 07:51:33,103,45,https://www.cindydrozda.com/html/Video_Pages/VideoMostOfBurl.html
"Fine, I'll Play With Skiplists",2024-11-27 16:50:21,103,12,https://buttondown.com/jaffray/archive/fine-ill-play-with-skiplists/
An 83-year-old short story by Borges portends a bleak future for the internet,2024-11-30 23:38:13,102,79,https://theconversation.com/an-83-year-old-short-story-by-borges-portends-a-bleak-future-for-the-internet-242998
"When was the famous ""sudo warning"" introduced? (2019)",2024-12-02 01:08:38,102,73,https://retrocomputing.stackexchange.com/questions/12521/when-was-the-famous-sudo-warning-introduced-under-what-background-by-whom
Intel gets up to $7.9B award for U.S. chip-plant construction,2024-11-26 19:13:51,101,130,https://www.wsj.com/tech/intel-gets-up-to-7-9-billion-award-for-u-s-chip-plant-construction-6c6818a1
"Francis Crick's ""Central Dogma"" was misunderstood",2024-12-01 19:24:26,96,48,https://www.asimov.press/p/crick
Demystifying Git Submodules,2024-12-02 01:19:16,89,54,https://www.cyberdemon.org/2024/03/20/submodules.html
Star Citizen crowdfunding passes $750M,2024-12-01 23:12:24,85,112,https://robertsspaceindustries.com/funding-goals
Thoughts on the software industry (2022),2024-11-30 08:16:44,85,77,https://linus.coffee/note/software-industry/
Forced to Upgrade,2024-11-27 08:37:03,84,92,https://herman.bearblog.dev/forced-to-upgrade/
Cursed Linear Types in Rust,2024-11-27 11:14:13,81,20,https://geo-ant.github.io/blog/2024/rust-linear-types-use-once/
Ask HN: Who needs help this holidays?,2024-12-01 23:37:37,81,4,
1/0 = 0 (2018),2024-12-01 20:17:06,78,129,https://www.hillelwayne.com/post/divide-by-zero/
Archaeometallurgical investigation of the Nebra Sky Disc,2024-11-29 17:12:15,76,18,https://www.nature.com/articles/s41598-024-80545-5
Man suffers chemical burn that lasted months after squeezing limes,2024-11-28 13:11:26,74,48,https://arstechnica.com/health/2024/11/man-suffers-chemical-burn-that-lasted-months-after-squeezing-limes/
Heaviside’s Operator Calculus (2007),2024-12-01 19:47:38,71,22,https://deadreckonings.com/2007/12/07/heavisides-operator-calculus/
What happens if we remove 50 percent of Llama?,2024-11-26 23:27:09,70,45,https://neuralmagic.com/blog/24-sparse-llama-smaller-models-for-efficient-gpu-inference/
Restaurant Menu Tricks (2020),2024-11-28 21:17:59,70,44,https://www.bbc.com/future/article/20171120-the-secret-tricks-hidden-inside-restaurant-menus
Who can claim Aristotle?,2024-11-28 21:23:56,70,44,https://aeon.co/essays/dont-cancel-aristotle-we-need-his-ideas-to-hone-ours
Police bust pirate streaming service making €250M per month,2024-12-02 00:38:07,69,121,https://www.bleepingcomputer.com/news/technology/police-bust-pirate-streaming-service-making-250-million-per-month/
Caving scientists exploring the darkest places on Earth,2024-11-25 04:25:33,67,23,https://www.bbc.com/future/article/20241029-the-caving-scientists-exploring-the-darkest-places-on-earth
Show HN: Steel.dev – An open-source browser API for AI agents and apps,2024-11-26 14:34:40,66,23,https://github.com/steel-dev/steel-browser
RAII and the Rust/Linux Drama,2024-12-02 00:06:38,64,78,https://kristoff.it/blog/raii-rust-linux/
IBM RISC System/6000 Family,2024-12-01 20:42:40,63,39,https://computeradsfromthepast.substack.com/p/ibm-risc-system6000-family
The Color of Noise (2014),2024-12-01 20:05:10,60,8,https://caseymuratori.com/blog_0010
iOS 18 is the worst software Apple has ever released,2024-12-01 22:53:32,58,35,https://forums.macrumors.com/threads/ios-18-is-the-worst-software-apple-has-ever-released-i-wish-so-bad-i-had-stayed-on-17-7.2440548/
Thinking in Actors – Challenging your software modelling to be simpler,2024-12-01 23:16:38,57,19,https://jeremycarterau.substack.com/p/thinking-in-actors-part-1
Historic Bottle Website,2024-11-27 07:59:07,55,7,https://sha.org/bottle/
Ryugu asteroid sample colonized by terrestrial life despite strict control,2024-11-23 13:39:37,53,23,https://phys.org/news/2024-11-ryugu-asteroid-sample-rapidly-colonized.html
Ask HN: Tools or frameworks to build music theory games,2024-11-27 22:53:05,52,10,
"Bicameral, Not Homoiconic",2024-12-02 04:24:07,48,22,https://parentheticallyspeaking.org/articles/bicameral-not-homoiconic/
Memento Movi,2024-11-26 14:31:17,47,16,https://mementomovi.wackyneighbor.com/
$2000-$3fff &D (2014),2024-11-23 00:01:54,46,10,https://csdb.dk/release/?id=135463
Show HN: Jinbase – Multi-model transactional embedded database,2024-11-29 21:25:33,46,2,https://github.com/pyrustic/jinbase
"First-Hand Account of ""The Undefined Behavior Question"" Incident [pdf]",2024-12-02 00:43:41,42,13,http://tomazos.com/ub_question_incident.pdf
"Show HN: Vicinity – Fast, Lightweight Nearest Neighbors with Flexible Back Ends",2024-12-01 17:15:04,41,8,https://github.com/MinishLab/vicinity
Mobile 3D Printer Can Print Directly on Your Floor,2024-11-25 12:41:12,38,23,https://spectrum.ieee.org/mobile-3d-printer
Working with PaloAlto to identify CVE-2024-2550,2024-12-02 02:26:32,34,13,https://www.ac3.com.au/resources/discovery-of-CVE-2024-2550/
Turning bogs from wastelands to nature-scapes,2024-12-01 12:24:43,33,10,https://worldsensorium.com/turning-bogs-from-wastelands-to-nature-scapes/
Abacist – Calculations with non-decimal units and mixed bases in Scala,2024-11-25 23:43:50,33,6,https://soundness.dev/
Rackspace Spot – Rackspace – Pricing Page,2024-12-01 21:54:02,29,12,https://spot.rackspace.com/static-files/html/pricing.html
Modern cars are surveillance devices on wheels with major privacy risks,2024-12-02 04:38:18,28,4,https://theconversation.com/modern-cars-are-surveillance-devices-on-wheels-with-major-privacy-risks-new-report-241258
Photo Robot Takes the Perfect Picture,2024-11-23 20:40:06,25,9,https://spectrum.ieee.org/photo-robot
"Try asking ChatGPT about ""David Mayer""",2024-12-02 04:54:50,25,8,
How should we treat beings that might be sentient?,2024-12-01 18:54:02,21,13,https://arstechnica.com/science/2024/11/how-should-we-treat-beings-that-might-be-sentient/
An Aperiodic Monotile,2024-12-02 07:37:13,19,6,https://cs.uwaterloo.ca/~csk/hat/
The FBI's WofMD Program Has a New Target: Animal Rights Activists,2024-12-02 02:58:54,19,6,https://theintercept.com/2024/10/19/fbi-meat-industry-animal-rights-activists-weapons-mass-destruction/
Ampere WS-1 Japanese APL Clamtop,2024-12-01 23:57:19,19,1,https://computeradsfromthepast.substack.com/p/ampere-ws-1
How Russian hypersonic missiles work [pdf],2024-12-01 22:14:11,17,1,https://www.jp-petit.org/nouv_f/2022-05-09%20MHD%20to%20Scientific%20American.pdf
New physical AWS Data Transfer Terminals let you upload to the cloud faster,2024-12-02 08:41:12,16,16,https://aws.amazon.com/blogs/aws/new-physical-aws-data-transfer-terminals-let-you-upload-to-the-cloud-faster/
Greg Kroah-Hartman Sees 'Tipping Point' for Rust Drivers in Linux Kernel,2024-12-01 23:59:27,16,1,https://www.phoronix.com/news/Linux-6.13-char-misc-More-Rust
Can't Driven Development,2024-12-01 20:37:25,14,8,https://rm4n0s.github.io/posts/6-cant-driven-development/
Scalable and Performant Data Loading,2024-12-01 22:59:51,14,1,https://ai.meta.com/blog/spdl-faster-ai-model-training-with-thread-based-data-loading-reality-labs/?_fb_noscript=1
The GNU make jobserver Implementation,2024-11-26 19:42:02,12,2,https://make.mad-scientist.net/papers/jobserver-implementation/
Google Cloud TPU v6e Trillium Shown at SC24,2024-12-01 22:54:28,12,1,https://www.servethehome.com/google-cloud-tpu-v6e-trillium-shown-at-sc24/
'The Endless Refrain' asks: Do we even want new music anymore?,2024-11-28 06:48:55,11,13,https://www.washingtonpost.com/books/2024/11/26/endless-refrain-nostalgia-music-david-rowell-review/
There's a real math problem with MicroStrategy's obscene valuation premium,2024-12-02 01:59:10,11,2,https://sherwood.news/crypto/microstrategy-bitcoin-valuation-premium/
Poop: a performance optimizer observation platform,2024-12-01 22:31:37,9,0,https://github.com/andrewrk/poop
NaNoGenMo 2024 novel from AI captioned stills from the movie A.I,2024-12-01 23:19:18,8,2,https://github.com/barnoid/AIAI2
Oxford Electric Bell,2024-12-02 01:48:01,6,0,https://en.wikipedia.org/wiki/Oxford_Electric_Bell
Ask HN: What's the one feature you'd want in a GitHub productivity tool?,2024-12-01 11:21:39,4,17,
95 Tesla deaths have involved fires or Autopilot failures,2024-12-02 07:40:44,4,0,https://www.businessinsider.com/tesla-deaths
Tesla has been slow to make its chargers accessible to other EVs,2024-12-02 04:10:38,3,0,https://financialpost.com/commodities/energy/electric-vehicles/tesla-superchargers-widely-accessible
Infisical (YC W23) Is Hiring Full Stack Engineers in SF and Remotely,2024-12-01 18:00:49,1,0,https://www.ycombinator.com/companies/infisical/jobs/2OGBQMt-full-stack-engineer-sf
